# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
250000 200
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0 0
18 0.875 0 0
19 0.925 0 0
20 0.975 0 0
21 1.025 0 0
22 1.075 0 0
23 1.125 0 0
24 1.175 0 0
25 1.225 0 0
26 1.275 0 0
27 1.325 0 0
28 1.375 0 0
29 1.425 0 0
30 1.475 0 0
31 1.525 0 0
32 1.575 0 0
33 1.625 0 0
34 1.675 0 0
35 1.725 0 0
36 1.775 0 0
37 1.825 0 0
38 1.875 0 0
39 1.925 0 0
40 1.975 0 0
41 2.025 0.0001405 1.38889e-05
42 2.075 0.00109279 0.000127315
43 2.125 0.00499721 0.000671296
44 2.175 0.0189789 0.00283565
45 2.225 0.0541739 0.00930093
46 2.275 0.132024 0.0257731
47 2.325 0.259404 0.0595764
48 2.375 0.45072 0.120863
49 2.425 0.693802 0.219218
50 2.475 0.966717 0.36197
51 2.525 1.23299 0.551472
52 2.575 1.45374 0.783838
53 2.625 1.63224 1.05497
54 2.675 1.73786 1.35474
55 2.725 1.78614 1.67447
56 2.775 1.7716 2.00333
57 2.825 1.71331 2.33294
58 2.875 1.63822 2.65937
59 2.925 1.53106 2.97514
60 2.975 1.40453 3.2748
61 3.025 1.2756 3.55618
62 3.075 1.16389 3.82148
63 3.125 1.04651 4.06784
64 3.175 0.94674 4.2979
65 3.225 0.848847 4.51072
66 3.275 0.773133 4.71062
67 3.325 0.718883 4.90221
68 3.375 0.680619 5.08909
69 3.425 0.666991 5.2777
70 3.475 0.670368 5.47284
71 3.525 0.697012 5.68162
72 3.575 0.748248 5.91215
73 3.625 0.818685 6.17148
74 3.675 0.909532 6.4676
75 3.725 1.01204 6.80611
76 3.775 1.11701 7.18983
77 3.825 1.23408 7.62507
78 3.875 1.33389 8.10789
79 3.925 1.43066 8.63919
80 3.975 1.51547 9.21642
81 4.025 1.56624 9.82808
82 4.075 1.60299 10.4698
83 4.125 1.60762 11.1292
84 4.175 1.60385 11.8031
85 4.225 1.5669 12.4773
86 4.275 1.51007 13.1426
87 4.325 1.44297 13.7932
88 4.375 1.36411 14.4226
89 4.425 1.27694 15.0254
90 4.475 1.19272 15.6011
91 4.525 1.11251 16.1502
92 4.575 1.03509 16.6725
93 4.625 0.972489 17.174
94 4.675 0.916517 17.6568
95 4.725 0.869764 18.1249
96 4.775 0.831028 18.5817
97 4.825 0.804016 19.0329
98 4.875 0.784472 19.4823
99 4.925 0.77545 19.9357
100 4.975 0.765366 20.3924
101 5.025 0.76122 20.8557
102 5.075 0.756503 21.3254
103 5.125 0.752895 21.8021
104 5.175 0.74604 22.2837
105 5.225 0.739143 22.7701
106 5.275 0.726826 23.2577
107 5.325 0.716655 23.7475
108 5.375 0.701944 24.2364
109 5.425 0.68885 24.7251
110 5.475 0.673724 25.2119
111 5.525 0.657546 25.6958
112 5.575 0.649438 26.1823
113 5.625 0.640229 26.6706
114 5.675 0.637779 27.1658
115 5.725 0.64312 27.6739
116 5.775 0.650097 28.1965
117 5.825 0.668726 28.7435
118 5.875 0.693182 29.3203
119 5.925 0.729128 29.9373
120 5.975 0.768061 30.5983
121 6.025 0.818457 31.3145
122 6.075 0.871437 32.0897
123 6.125 0.930152 32.9309
124 6.175 0.997397 33.8477
125 6.225 1.06081 34.8386
126 6.275 1.12687 35.9082
